Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S51988926,Canada Goose,Branta canadensis,297,X,CA-ON,Halton,L168802,Burlington--LaSalle Park/Marina,43.302204,-79.844406,2019-01-19,11:00 AM,eBird - Traveling Count,60,0,.8,,2
S36850677,Canada Goose,Branta canadensis,297,8,CA-ON,Halton,L601562,Hamilton--Hendrie Valley,43.2932628,-79.8835015,2017-05-14,,Historical,,0,,,4
S37207287,Canada Goose,Branta canadensis,297,8,CA-ON,Halton,L601562,Hamilton--Hendrie Valley,43.2932628,-79.8835015,2017-05-28,07:15 AM,eBird - Traveling Count,180,1,4.3,,2
S48289425,Canada Goose,Branta canadensis,297,4,CA-ON,Halton,L601559,Hamilton--Valley Inn,43.2897486,-79.8857653,2018-09-03,11:10 AM,eBird - Traveling Count,10,1,.2,,2
S48289329,Canada Goose,Branta canadensis,297,30,CA-ON,Halton,L609180,Hamilton--Woodland Cemetery,43.2842974,-79.8842955,2018-09-03,10:00 AM,eBird - Traveling Count,50,1,1.5,,2
S43190888,Canada Goose,Branta canadensis,297,50,CA-ON,Hamilton,L6988398,6th Road East Between Mud and Highland,43.1727598,-79.711175,2018-02-23,10:00 AM,eBird - Stationary Count,10,1,,,2
S42143147,Canada Goose,Branta canadensis,297,X,CA-ON,Hamilton,L2737701,Burlington Ship Canal/Lift bridge (Hamilton side),43.2982916,-79.7947097,2018-01-21,11:30 AM,eBird - Traveling Count,45,0,.5,,2
S37072921,Canada Goose,Branta canadensis,297,2,CA-ON,Hamilton,L2808975,Dofasco Trail--5th Road E to 8th Road E,43.192224,-79.6961117,2017-05-22,09:45 AM,eBird - Traveling Count,300,1,13.2,,2
S57221389,Canada Goose,Branta canadensis,297,4,CA-ON,Hamilton,L2808975,Dofasco Trail--5th Road E to 8th Road E,43.192224,-79.6961117,2019-06-08,05:00 PM,eBird - Traveling Count,105,1,6.,,2,,,~5th Road to _10th_ Road on Dofasco Trail
S52136619,Canada Goose,Branta canadensis,297,6,CA-ON,Hamilton,L2083960,Dundas Valley CA--Mineral Springs Trails,43.2328847,-80.0072479,2019-01-27,11:20 AM,eBird - Traveling Count,100,1,3.,,2,,Flying over
S55552564,Canada Goose,Branta canadensis,297,2,CA-ON,Hamilton,L2031379,Dundas Valley CA--Spring Valley Trails,43.2248329,-80.003525,2019-04-27,09:30 AM,eBird - Traveling Count,90,1,4.,,2
S38098891,Canada Goose,Branta canadensis,297,30,CA-ON,Hamilton,L1064091,Hamilton--Bayfront Park,43.2707062,-79.8718071,2017-07-11,07:00 PM,eBird - Traveling Count,90,1,2.,,2
S39105418,Canada Goose,Branta canadensis,297,X,CA-ON,Hamilton,L1064091,Hamilton--Bayfront Park,43.2707062,-79.8718071,2017-09-03,07:00 PM,eBird - Traveling Count,90,0,4.,,2
S41520658,Canada Goose,Branta canadensis,297,14,CA-ON,Hamilton,L1064091,Hamilton--Bayfront Park,43.2707062,-79.8718071,2018-01-01,03:30 PM,eBird - Traveling Count,30,1,2.,,1
S41911093,Canada Goose,Branta canadensis,297,15,CA-ON,Hamilton,L1064091,Hamilton--Bayfront Park,43.2707062,-79.8718071,2018-01-14,11:45 AM,eBird - Traveling Count,50,1,2.,,2
S43352430,Canada Goose,Branta canadensis,297,20,CA-ON,Hamilton,L1064091,Hamilton--Bayfront Park,43.2707062,-79.8718071,2018-03-03,04:30 PM,eBird - Traveling Count,60,1,1.65,,2
S43380642,Canada Goose,Branta canadensis,297,X,CA-ON,Hamilton,L1064091,Hamilton--Bayfront Park,43.2707062,-79.8718071,2018-03-04,01:15 PM,eBird - Traveling Count,90,0,4.4,,2
S44341965,Canada Goose,Branta canadensis,297,X,CA-ON,Hamilton,L1064091,Hamilton--Bayfront Park,43.2707062,-79.8718071,2018-04-07,04:20 PM,eBird - Traveling Count,40,0,1.7,,2
S44846760,Canada Goose,Branta canadensis,297,X,CA-ON,Hamilton,L1064091,Hamilton--Bayfront Park,43.2707062,-79.8718071,2018-04-22,07:00 PM,eBird - Traveling Count,35,0,1.7,,2
S45043394,Canada Goose,Branta canadensis,297,X,CA-ON,Hamilton,L1064091,Hamilton--Bayfront Park,43.2707062,-79.8718071,2018-04-28,05:00 PM,eBird - Traveling Count,30,0,1.5,,2
S45318841,Canada Goose,Branta canadensis,297,X,CA-ON,Hamilton,L1064091,Hamilton--Bayfront Park,43.2707062,-79.8718071,2018-05-05,05:00 PM,eBird - Traveling Count,35,0,1.4,,1
